timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
6.19888e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
1.0252e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.0252e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
5.96046e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.34465e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
6.19888e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
5.96046e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.19888e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
5.72205e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
7.15256e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
6.19888e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
8.34465e-06,0,0,0,0,0,0,0,0
5.72205e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.34465e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
5.96046e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.34465e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.91414e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
6.19888e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
8.10623e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
9.29832e-06,0,0,0,0,0,0,0,0
7.86781e-06,0,0,0,0,0,0,0,0
